CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.625000 1587454931.2783
MEM 14.328125 1587454931.3848
MEM 19.488281 1587454931.4936
MEM 23.824219 1587454931.5996
MEM 25.035156 1587454931.7224
MEM 52.644531 1587454931.8285
MEM 56.320312 1587454931.9409
MEM 57.546875 1587454932.0471
MEM 58.570312 1587454932.1658
MEM 60.121094 1587454932.2796
MEM 60.992188 1587454932.4001
MEM 64.750000 1587454932.5202
MEM 65.824219 1587454932.6405
MEM 67.226562 1587454932.7600
MEM 73.187500 1587454932.8662
MEM 76.503906 1587454932.9740
MEM 77.511719 1587454933.0818
MEM 78.226562 1587454933.2028
MEM 80.195312 1587454933.3249
MEM 82.660156 1587454933.4330
MEM 84.578125 1587454933.5408
MEM 87.300781 1587454933.6473
MEM 88.734375 1587454933.7603
MEM 89.406250 1587454933.8763
MEM 92.003906 1587454933.9919
MEM 92.621094 1587454934.1109
MEM 95.714844 1587454934.2304
MEM 98.449219 1587454934.3479
MEM 100.218750 1587454934.4704
MEM 101.144531 1587454934.5915
MEM 102.140625 1587454934.7127
MEM 103.722656 1587454934.8373
MEM 107.437500 1587454934.9586
MEM 110.828125 1587454935.0676
MEM 112.726562 1587454935.1750
MEM 114.480469 1587454935.2811
MEM 117.585938 1587454935.3871
MEM 118.105469 1587454935.5079
MEM 119.925781 1587454935.6275
MEM 123.066406 1587454935.7352
MEM 131.199219 1587454935.8412
MEM 140.523438 1587454935.9472
MEM 142.457031 1587454936.0680
MEM 142.457031 1587454936.1882
MEM 142.457031 1587454936.2969
MEM 142.457031 1587454936.4171
MEM 142.457031 1587454936.5253
MEM 142.457031 1587454936.6387
MEM 142.457031 1587454936.7467
MEM 142.457031 1587454936.8710
MEM 142.457031 1587454936.9921
MEM 142.457031 1587454937.1162
MEM 142.457031 1587454937.2369
MEM 142.457031 1587454937.3597
MEM 142.457031 1587454937.4797
MEM 142.457031 1587454937.5862
MEM 142.457031 1587454937.6928
MEM 142.457031 1587454937.7994
MEM 142.457031 1587454937.9101
MEM 143.601562 1587454938.0182
MEM 143.601562 1587454938.1245
MEM 143.601562 1587454938.2307
MEM 143.601562 1587454938.3368
MEM 143.601562 1587454938.4428
MEM 143.601562 1587454938.5490
MEM 143.601562 1587454938.6555
MEM 143.601562 1587454938.7638
MEM 143.875000 1587454938.8740
MEM 144.503906 1587454938.9809
MEM 144.503906 1587454939.0911
MEM 144.503906 1587454939.1995
MEM 144.503906 1587454939.3057
MEM 144.503906 1587454939.4280
MEM 144.503906 1587454939.5489
MEM 144.503906 1587454939.6699
MEM 144.503906 1587454939.7889
MEM 144.503906 1587454939.9064
MEM 144.503906 1587454940.0259
MEM 144.503906 1587454940.1444
MEM 144.503906 1587454940.2622
MEM 144.503906 1587454940.3811
MEM 144.503906 1587454940.4985
MEM 144.503906 1587454940.6167
MEM 144.503906 1587454940.7355
MEM 144.503906 1587454940.8570
MEM 144.503906 1587454940.9751
MEM 144.503906 1587454941.0931
MEM 144.503906 1587454941.2141
MEM 144.503906 1587454941.3345
MEM 144.503906 1587454941.4532
MEM 144.503906 1587454941.5728
MEM 144.503906 1587454941.6934
MEM 144.503906 1587454941.8092
MEM 144.503906 1587454941.9276
MEM 144.503906 1587454942.0491
MEM 144.503906 1587454942.1679
MEM 144.503906 1587454942.2746
MEM 144.503906 1587454942.3937
MEM 144.503906 1587454942.5127
MEM 144.503906 1587454942.6337
MEM 144.503906 1587454942.7531
MEM 144.503906 1587454942.8768
MEM 144.503906 1587454942.9962
MEM 144.503906 1587454943.1149
MEM 144.503906 1587454943.2215
MEM 144.503906 1587454943.3330
MEM 144.503906 1587454943.4534
MEM 144.503906 1587454943.5740
MEM 144.503906 1587454943.6907
MEM 144.503906 1587454943.8034
MEM 144.503906 1587454943.9239
MEM 144.503906 1587454944.0321
MEM 144.503906 1587454944.1522
