CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.554688 1587454966.1008
MEM 20.820312 1587454966.2071
MEM 54.925781 1587454966.3133
MEM 64.136719 1587454966.4244
MEM 81.300781 1587454966.5306
MEM 96.113281 1587454966.6368
MEM 110.039062 1587454966.7429
MEM 116.687500 1587454966.8490
MEM 124.839844 1587454966.9552
MEM 132.414062 1587454967.0614
MEM 140.417969 1587454967.1728
MEM 141.984375 1587454967.2842
MEM 141.984375 1587454967.3939
MEM 141.984375 1587454967.5135
MEM 141.984375 1587454967.6327
MEM 141.984375 1587454967.7517
MEM 141.984375 1587454967.8720
MEM 141.984375 1587454967.9920
MEM 141.984375 1587454968.1115
MEM 141.984375 1587454968.2300
MEM 141.984375 1587454968.3392
MEM 141.984375 1587454968.4578
MEM 141.984375 1587454968.5770
MEM 141.984375 1587454968.6986
MEM 141.984375 1587454968.8212
MEM 141.984375 1587454968.9312
MEM 141.984375 1587454969.0509
MEM 141.984375 1587454969.1866
MEM 141.984375 1587454969.3078
MEM 141.984375 1587454969.4309
MEM 141.984375 1587454969.5371
MEM 141.984375 1587454969.6456
MEM 142.589844 1587454969.7517
MEM 143.105469 1587454969.8607
MEM 143.105469 1587454969.9700
MEM 143.105469 1587454970.0794
MEM 143.105469 1587454970.1882
MEM 143.105469 1587454970.2944
MEM 143.105469 1587454970.4017
MEM 143.105469 1587454970.5081
MEM 143.105469 1587454970.6146
MEM 143.437500 1587454970.7248
MEM 143.925781 1587454970.8327
CHLD 0 130.757812 1587454970.8489
CHLD 1 150.191406 1587454970.8489
CHLD 2 132.785156 1587454970.8491
MEM 143.925781 1587454970.9494
CHLD 0 156.757812 1587454970.9582
CHLD 1 158.691406 1587454970.9582
CHLD 2 209.582031 1587454970.9582
MEM 143.925781 1587454971.0591
CHLD 0 164.265625 1587454971.0757
CHLD 1 164.492188 1587454971.0758
CHLD 2 209.582031 1587454971.0758
MEM 143.925781 1587454971.1763
CHLD 0 165.027344 1587454971.1869
CHLD 1 165.000000 1587454971.1869
CHLD 2 209.582031 1587454971.1870
MEM 143.925781 1587454971.2874
CHLD 0 165.027344 1587454971.2958
CHLD 1 165.000000 1587454971.2958
CHLD 2 209.582031 1587454971.2958
MEM 143.925781 1587454971.3962
CHLD 0 165.027344 1587454971.4050
CHLD 1 165.000000 1587454971.4050
CHLD 2 209.582031 1587454971.4051
MEM 143.925781 1587454971.5054
CHLD 0 165.027344 1587454971.5150
CHLD 1 165.000000 1587454971.5150
CHLD 2 209.582031 1587454971.5151
MEM 143.925781 1587454971.6165
CHLD 0 165.027344 1587454971.6276
CHLD 1 165.000000 1587454971.6276
CHLD 2 209.582031 1587454971.6277
MEM 143.925781 1587454971.7280
CHLD 0 165.027344 1587454971.7406
CHLD 1 165.000000 1587454971.7406
CHLD 2 209.582031 1587454971.7407
MEM 143.925781 1587454971.8411
CHLD 0 165.207031 1587454971.8527
CHLD 1 165.000000 1587454971.8527
CHLD 2 209.582031 1587454971.8528
MEM 143.925781 1587454971.9531
CHLD 0 166.023438 1587454971.9619
CHLD 1 165.648438 1587454971.9620
CHLD 2 209.582031 1587454971.9620
MEM 143.925781 1587454972.0624
CHLD 0 188.660156 1587454972.0724
CHLD 1 187.851562 1587454972.0725
CHLD 2 209.582031 1587454972.0725
MEM 143.925781 1587454972.1728
CHLD 0 188.660156 1587454972.1816
CHLD 1 188.613281 1587454972.1816
CHLD 2 209.582031 1587454972.1817
MEM 143.925781 1587454972.2820
CHLD 0 188.660156 1587454972.2902
CHLD 1 188.613281 1587454972.2903
CHLD 2 209.582031 1587454972.2903
MEM 143.925781 1587454972.3906
CHLD 0 188.660156 1587454972.4008
CHLD 1 188.613281 1587454972.4008
CHLD 2 211.253906 1587454972.4009
MEM 143.925781 1587454972.5014
CHLD 0 188.660156 1587454972.5096
CHLD 1 188.613281 1587454972.5097
CHLD 2 211.253906 1587454972.5097
MEM 143.925781 1587454972.6102
CHLD 0 188.878906 1587454972.6196
CHLD 1 188.613281 1587454972.6196
CHLD 2 211.253906 1587454972.6197
MEM 143.925781 1587454972.7200
CHLD 0 188.898438 1587454972.7307
CHLD 1 188.687500 1587454972.7307
CHLD 2 213.882812 1587454972.7308
MEM 143.925781 1587454972.8319
CHLD 0 189.148438 1587454972.8411
CHLD 1 188.742188 1587454972.8411
CHLD 2 218.339844 1587454972.8412
MEM 143.925781 1587454972.9415
CHLD 0 213.066406 1587454972.9540
CHLD 1 188.796875 1587454972.9540
CHLD 2 218.339844 1587454972.9541
MEM 143.925781 1587454973.0544
CHLD 0 249.417969 1587454973.0635
CHLD 1 188.851562 1587454973.0636
CHLD 2 218.339844 1587454973.0636
MEM 143.925781 1587454973.1639
CHLD 0 256.894531 1587454973.1726
CHLD 1 188.906250 1587454973.1726
CHLD 2 218.339844 1587454973.1726
MEM 143.925781 1587454973.2730
CHLD 0 263.855469 1587454973.2817
CHLD 1 237.226562 1587454973.2817
CHLD 2 218.339844 1587454973.2817
MEM 143.925781 1587454973.3821
CHLD 0 281.386719 1587454973.3931
CHLD 1 258.625000 1587454973.3931
CHLD 2 218.339844 1587454973.3931
MEM 143.925781 1587454973.4934
CHLD 0 252.839844 1587454973.5080
CHLD 1 277.187500 1587454973.5080
CHLD 2 218.339844 1587454973.5081
MEM 143.925781 1587454973.6084
CHLD 0 263.410156 1587454973.6180
CHLD 1 281.312500 1587454973.6180
CHLD 2 218.339844 1587454973.6181
MEM 143.925781 1587454973.7184
CHLD 0 281.457031 1587454973.7287
CHLD 1 253.796875 1587454973.7287
CHLD 2 218.339844 1587454973.7288
MEM 143.925781 1587454973.8292
CHLD 0 249.492188 1587454973.8405
CHLD 1 266.687500 1587454973.8406
CHLD 2 218.339844 1587454973.8406
MEM 143.925781 1587454973.9410
CHLD 0 260.058594 1587454973.9508
CHLD 1 281.382812 1587454973.9508
CHLD 2 218.339844 1587454973.9509
MEM 143.925781 1587454974.0513
CHLD 0 281.457031 1587454974.0618
CHLD 1 250.960938 1587454974.0618
CHLD 2 218.339844 1587454974.0619
MEM 143.925781 1587454974.1622
CHLD 0 281.457031 1587454974.1728
CHLD 1 258.953125 1587454974.1728
CHLD 2 218.339844 1587454974.1728
MEM 143.925781 1587454974.2732
CHLD 0 255.417969 1587454974.2830
CHLD 1 281.382812 1587454974.2830
CHLD 2 218.339844 1587454974.2831
MEM 143.925781 1587454974.3835
CHLD 0 264.699219 1587454974.3940
CHLD 1 281.382812 1587454974.3941
CHLD 2 218.339844 1587454974.3941
MEM 143.925781 1587454974.4945
CHLD 0 281.457031 1587454974.5045
CHLD 1 254.312500 1587454974.5045
CHLD 2 218.339844 1587454974.5045
MEM 143.925781 1587454974.6049
CHLD 0 249.492188 1587454974.6149
CHLD 1 264.109375 1587454974.6149
CHLD 2 218.339844 1587454974.6150
MEM 143.925781 1587454974.7153
CHLD 0 249.492188 1587454974.7256
CHLD 1 281.382812 1587454974.7257
CHLD 2 218.339844 1587454974.7257
MEM 143.925781 1587454974.8261
CHLD 0 249.492188 1587454974.8364
CHLD 1 249.417969 1587454974.8364
CHLD 2 218.339844 1587454974.8364
MEM 143.925781 1587454974.9368
CHLD 0 249.492188 1587454974.9468
CHLD 1 249.417969 1587454974.9468
CHLD 2 218.339844 1587454974.9468
MEM 143.925781 1587454975.0472
CHLD 0 249.492188 1587454975.0556
CHLD 1 249.417969 1587454975.0557
CHLD 2 218.519531 1587454975.0557
MEM 143.925781 1587454975.1560
CHLD 0 249.492188 1587454975.1655
CHLD 1 249.417969 1587454975.1655
CHLD 2 218.519531 1587454975.1656
MEM 143.925781 1587454975.2659
CHLD 0 249.492188 1587454975.2738
CHLD 1 249.417969 1587454975.2738
CHLD 2 218.519531 1587454975.2739
MEM 143.925781 1587454975.3742
CHLD 0 249.492188 1587454975.3828
CHLD 1 249.417969 1587454975.3829
CHLD 2 218.636719 1587454975.3829
MEM 143.925781 1587454975.4833
CHLD 0 249.492188 1587454975.4913
CHLD 1 249.417969 1587454975.4914
CHLD 2 219.335938 1587454975.4914
MEM 143.925781 1587454975.5918
CHLD 0 249.746094 1587454975.6009
CHLD 1 249.417969 1587454975.6010
CHLD 2 221.093750 1587454975.6010
MEM 143.925781 1587454975.7050
CHLD 0 250.003906 1587454975.7152
CHLD 1 249.671875 1587454975.7152
CHLD 2 328.308594 1587454975.7153
MEM 143.925781 1587454975.8159
CHLD 0 250.261719 1587454975.8253
CHLD 1 249.929688 1587454975.8253
CHLD 2 328.554688 1587454975.8253
MEM 143.925781 1587454975.9257
CHLD 0 250.519531 1587454975.9360
CHLD 1 250.187500 1587454975.9360
CHLD 2 328.554688 1587454975.9361
MEM 143.925781 1587454976.0364
CHLD 0 250.519531 1587454976.0465
CHLD 1 250.445312 1587454976.0465
CHLD 2 328.554688 1587454976.0466
MEM 143.925781 1587454976.1469
CHLD 0 250.777344 1587454976.1554
CHLD 1 250.445312 1587454976.1555
CHLD 2 328.554688 1587454976.1555
MEM 143.925781 1587454976.2559
CHLD 0 250.777344 1587454976.2649
CHLD 1 250.703125 1587454976.2649
CHLD 2 328.554688 1587454976.2650
MEM 143.925781 1587454976.3653
CHLD 0 250.777344 1587454976.3738
CHLD 1 250.703125 1587454976.3739
CHLD 2 328.554688 1587454976.3739
MEM 143.925781 1587454976.4743
CHLD 0 251.035156 1587454976.4839
CHLD 1 250.703125 1587454976.4839
CHLD 2 328.554688 1587454976.4840
MEM 143.925781 1587454976.5843
CHLD 0 251.035156 1587454976.5942
CHLD 1 250.960938 1587454976.5942
CHLD 2 328.554688 1587454976.5942
MEM 143.925781 1587454976.6946
CHLD 0 251.035156 1587454976.7054
CHLD 1 250.960938 1587454976.7055
CHLD 2 328.554688 1587454976.7055
MEM 143.925781 1587454976.8058
CHLD 0 251.292969 1587454976.8140
CHLD 1 250.960938 1587454976.8141
CHLD 2 328.554688 1587454976.8141
MEM 143.925781 1587454976.9144
CHLD 0 251.292969 1587454976.9238
CHLD 1 251.218750 1587454976.9238
CHLD 2 328.554688 1587454976.9239
MEM 143.925781 1587454977.0242
CHLD 0 251.550781 1587454977.0326
CHLD 1 251.218750 1587454977.0333
CHLD 2 328.554688 1587454977.0334
MEM 143.925781 1587454977.1337
CHLD 0 251.550781 1587454977.1427
CHLD 1 251.476562 1587454977.1427
CHLD 2 328.554688 1587454977.1428
MEM 143.925781 1587454977.2431
CHLD 0 251.550781 1587454977.2512
CHLD 1 251.476562 1587454977.2512
CHLD 2 328.554688 1587454977.2513
MEM 143.925781 1587454977.3516
CHLD 0 251.808594 1587454977.3616
CHLD 1 251.476562 1587454977.3617
CHLD 2 328.554688 1587454977.3617
MEM 143.925781 1587454977.4621
CHLD 0 251.808594 1587454977.4737
CHLD 1 251.734375 1587454977.4738
CHLD 2 328.554688 1587454977.4738
MEM 143.925781 1587454977.5741
CHLD 0 252.066406 1587454977.5850
CHLD 1 251.734375 1587454977.5850
CHLD 2 328.554688 1587454977.5851
MEM 143.925781 1587454977.6854
CHLD 0 252.066406 1587454977.6946
CHLD 1 251.734375 1587454977.6946
CHLD 2 328.554688 1587454977.6946
MEM 143.925781 1587454977.7950
CHLD 0 252.066406 1587454977.8029
CHLD 1 251.992188 1587454977.8030
CHLD 2 328.554688 1587454977.8030
MEM 143.925781 1587454977.9033
CHLD 0 252.066406 1587454977.9114
