CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.472656 1587455249.4480
MEM 21.210938 1587455249.5601
MEM 54.960938 1587455249.6771
MEM 66.625000 1587455249.8038
MEM 82.031250 1587455249.9181
MEM 95.960938 1587455250.0320
MEM 110.117188 1587455250.1465
MEM 115.390625 1587455250.2613
MEM 122.027344 1587455250.3746
MEM 129.300781 1587455250.4879
MEM 139.011719 1587455250.6011
MEM 142.437500 1587455250.7241
MEM 142.437500 1587455250.8620
MEM 142.437500 1587455250.9932
MEM 142.437500 1587455251.1177
MEM 142.437500 1587455251.2328
MEM 142.437500 1587455251.3472
MEM 142.437500 1587455251.4638
MEM 142.437500 1587455251.5957
MEM 142.437500 1587455251.7160
MEM 142.437500 1587455251.8345
MEM 142.437500 1587455251.9623
MEM 142.437500 1587455252.0831
MEM 142.437500 1587455252.2121
MEM 142.437500 1587455252.3361
MEM 142.437500 1587455252.4492
MEM 142.437500 1587455252.5614
MEM 142.437500 1587455252.6737
MEM 143.683594 1587455252.7876
MEM 143.683594 1587455252.8994
MEM 143.683594 1587455253.0253
MEM 143.683594 1587455253.1428
MEM 143.683594 1587455253.2600
MEM 143.683594 1587455253.3779
MEM 143.683594 1587455253.4927
MEM 143.683594 1587455253.6052
MEM 143.773438 1587455253.7173
MEM 144.050781 1587455253.8300
MEM 658.406250 1587455253.9500
CHLD 0 156.585938 1587455253.9703
CHLD 1 158.328125 1587455253.9703
CHLD 2 209.460938 1587455253.9703
MEM 679.304688 1587455254.0847
CHLD 0 164.445312 1587455254.1294
CHLD 1 162.203125 1587455254.1294
CHLD 2 209.460938 1587455254.1294
MEM 682.542969 1587455254.2382
CHLD 0 164.445312 1587455254.2926
CHLD 1 164.382812 1587455254.2926
CHLD 2 209.460938 1587455254.2927
MEM 682.542969 1587455254.4118
CHLD 0 164.445312 1587455254.4486
CHLD 1 164.382812 1587455254.4487
CHLD 2 209.460938 1587455254.4487
MEM 682.542969 1587455254.5655
CHLD 0 164.445312 1587455254.6337
CHLD 1 164.382812 1587455254.6338
CHLD 2 209.460938 1587455254.6338
MEM 682.722656 1587455254.7504
CHLD 0 164.742188 1587455254.8062
CHLD 1 164.382812 1587455254.8062
CHLD 2 209.460938 1587455254.8063
MEM 683.371094 1587455254.9211
CHLD 0 165.093750 1587455254.9423
CHLD 1 164.796875 1587455254.9423
CHLD 2 209.460938 1587455254.9424
MEM 707.574219 1587455255.0620
CHLD 0 188.273438 1587455255.0769
CHLD 1 169.675781 1587455255.0769
CHLD 2 209.460938 1587455255.0770
MEM 730.214844 1587455255.1865
CHLD 0 188.273438 1587455255.2311
CHLD 1 188.226562 1587455255.2312
CHLD 2 209.460938 1587455255.2312
MEM 730.214844 1587455255.3396
CHLD 0 188.273438 1587455255.3861
CHLD 1 188.226562 1587455255.3861
CHLD 2 209.460938 1587455255.3861
MEM 730.214844 1587455255.4956
CHLD 0 188.273438 1587455255.5499
CHLD 1 188.226562 1587455255.5500
CHLD 2 209.460938 1587455255.5500
MEM 731.632812 1587455255.6594
CHLD 0 188.546875 1587455255.7028
CHLD 1 188.226562 1587455255.7029
CHLD 2 210.769531 1587455255.7029
MEM 753.562500 1587455255.8121
CHLD 0 210.855469 1587455255.8274
CHLD 1 188.226562 1587455255.8274
CHLD 2 213.503906 1587455255.8274
MEM 810.531250 1587455255.9364
CHLD 0 263.250000 1587455255.9541
CHLD 1 188.390625 1587455255.9542
CHLD 2 215.925781 1587455255.9542
MEM 832.167969 1587455256.0639
CHLD 0 281.039062 1587455256.0879
CHLD 1 189.285156 1587455256.0880
CHLD 2 218.101562 1587455256.0880
MEM 847.601562 1587455256.1976
CHLD 0 253.523438 1587455256.2300
CHLD 1 251.832031 1587455256.2300
CHLD 2 218.101562 1587455256.2301
MEM 900.710938 1587455256.3388
CHLD 0 281.109375 1587455256.3806
CHLD 1 280.191406 1587455256.3807
CHLD 2 218.101562 1587455256.3807
MEM 924.429688 1587455256.4901
CHLD 0 281.109375 1587455256.5194
CHLD 1 280.964844 1587455256.5195
CHLD 2 218.101562 1587455256.5195
MEM 870.359375 1587455256.6314
CHLD 0 256.617188 1587455256.6584
CHLD 1 252.933594 1587455256.6585
CHLD 2 218.101562 1587455256.6585
MEM 889.437500 1587455256.7671
CHLD 0 281.109375 1587455256.7877
CHLD 1 261.957031 1587455256.7878
CHLD 2 218.101562 1587455256.7878
MEM 924.500000 1587455256.8978
CHLD 0 281.109375 1587455256.9137
CHLD 1 281.035156 1587455256.9137
CHLD 2 218.101562 1587455256.9138
MEM 894.593750 1587455257.0226
CHLD 0 253.265625 1587455257.0579
CHLD 1 281.035156 1587455257.0579
CHLD 2 218.101562 1587455257.0580
MEM 878.609375 1587455257.1665
CHLD 0 264.351562 1587455257.1991
CHLD 1 257.058594 1587455257.1992
CHLD 2 218.101562 1587455257.1992
MEM 908.515625 1587455257.3086
CHLD 0 281.109375 1587455257.3315
CHLD 1 276.910156 1587455257.3315
CHLD 2 218.101562 1587455257.3315
MEM 924.500000 1587455257.4439
CHLD 0 249.144531 1587455257.4671
CHLD 1 249.070312 1587455257.4672
CHLD 2 218.101562 1587455257.4672
MEM 867.269531 1587455257.5785
CHLD 0 249.144531 1587455257.6093
CHLD 1 259.894531 1587455257.6094
CHLD 2 218.101562 1587455257.6094
MEM 892.535156 1587455257.7183
CHLD 0 249.144531 1587455257.7393
CHLD 1 281.035156 1587455257.7393
CHLD 2 218.101562 1587455257.7393
MEM 892.535156 1587455257.8531
CHLD 0 249.144531 1587455257.8913
CHLD 1 281.035156 1587455257.8914
CHLD 2 218.101562 1587455257.8914
MEM 860.570312 1587455258.0011
CHLD 0 249.144531 1587455258.0323
CHLD 1 249.070312 1587455258.0324
CHLD 2 218.101562 1587455258.0324
MEM 860.570312 1587455258.1436
CHLD 0 249.144531 1587455258.1647
CHLD 1 249.070312 1587455258.1648
CHLD 2 218.101562 1587455258.1648
MEM 860.570312 1587455258.2764
CHLD 0 249.144531 1587455258.3058
CHLD 1 249.070312 1587455258.3061
CHLD 2 218.101562 1587455258.3061
MEM 860.570312 1587455258.4179
