CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.542969 1587455312.7449
MEM 21.308594 1587455312.8566
MEM 55.703125 1587455312.9743
MEM 68.296875 1587455313.0980
MEM 83.992188 1587455313.2100
MEM 99.851562 1587455313.3222
MEM 110.281250 1587455313.4359
MEM 112.718750 1587455313.5555
MEM 119.429688 1587455313.6742
MEM 128.039062 1587455313.7862
MEM 136.648438 1587455313.8981
MEM 141.988281 1587455314.0111
MEM 141.988281 1587455314.1412
MEM 141.988281 1587455314.2637
MEM 141.988281 1587455314.3761
MEM 141.988281 1587455314.5090
MEM 141.988281 1587455314.6350
MEM 141.988281 1587455314.7571
MEM 141.988281 1587455314.8899
MEM 141.988281 1587455315.0382
MEM 141.988281 1587455315.1694
MEM 141.988281 1587455315.2855
MEM 141.988281 1587455315.3992
MEM 141.988281 1587455315.5163
MEM 143.230469 1587455315.6396
MEM 143.230469 1587455315.7569
MEM 143.230469 1587455315.8749
MEM 143.230469 1587455315.9933
MEM 143.230469 1587455316.1062
MEM 143.230469 1587455316.2209
MEM 143.230469 1587455316.3345
MEM 143.230469 1587455316.4506
MEM 664.402344 1587455316.5694
CHLD 0 157.121094 1587455316.5785
CHLD 1 156.636719 1587455316.5786
CHLD 2 207.117188 1587455316.5786
MEM 670.921875 1587455316.6873
CHLD 0 159.875000 1587455316.7027
CHLD 1 163.097656 1587455316.7028
CHLD 2 209.203125 1587455316.7028
MEM 681.015625 1587455316.8136
CHLD 0 164.171875 1587455316.8602
CHLD 1 164.113281 1587455316.8603
CHLD 2 209.203125 1587455316.8603
MEM 681.015625 1587455316.9719
CHLD 0 164.171875 1587455317.0335
CHLD 1 164.113281 1587455317.0336
CHLD 2 209.203125 1587455317.0336
MEM 681.015625 1587455317.1428
CHLD 0 164.171875 1587455317.1951
CHLD 1 164.113281 1587455317.1951
CHLD 2 209.203125 1587455317.1952
MEM 681.015625 1587455317.3068
CHLD 0 164.171875 1587455317.3614
CHLD 1 164.113281 1587455317.3615
CHLD 2 209.203125 1587455317.3615
MEM 681.195312 1587455317.4713
CHLD 0 164.171875 1587455317.5112
CHLD 1 164.292969 1587455317.5113
CHLD 2 209.203125 1587455317.5113
MEM 682.144531 1587455317.6268
CHLD 0 164.886719 1587455317.6679
CHLD 1 164.941406 1587455317.6680
CHLD 2 209.203125 1587455317.6680
MEM 724.773438 1587455317.7800
CHLD 0 187.722656 1587455317.7937
CHLD 1 187.914062 1587455317.7937
CHLD 2 209.203125 1587455317.7937
MEM 728.609375 1587455317.9021
CHLD 0 187.964844 1587455317.9307
CHLD 1 187.914062 1587455317.9307
CHLD 2 209.203125 1587455317.9308
MEM 729.957031 1587455318.0421
CHLD 0 187.964844 1587455318.0774
CHLD 1 187.914062 1587455318.0774
CHLD 2 210.550781 1587455318.0775
MEM 729.957031 1587455318.1859
CHLD 0 187.964844 1587455318.2198
CHLD 1 187.914062 1587455318.2198
CHLD 2 210.550781 1587455318.2198
MEM 730.984375 1587455318.3291
CHLD 0 187.964844 1587455318.3595
CHLD 1 187.914062 1587455318.3596
CHLD 2 213.218750 1587455318.3596
MEM 732.992188 1587455318.4691
CHLD 0 188.128906 1587455318.4956
CHLD 1 187.914062 1587455318.4956
CHLD 2 213.476562 1587455318.4957
MEM 735.542969 1587455318.6043
CHLD 0 188.296875 1587455318.6227
CHLD 1 188.191406 1587455318.6228
CHLD 2 215.640625 1587455318.6228
MEM 748.875000 1587455318.7327
CHLD 0 210.554688 1587455318.7756
CHLD 1 210.621094 1587455318.7757
CHLD 2 217.945312 1587455318.7757
MEM 849.421875 1587455318.8847
CHLD 0 251.804688 1587455318.9048
CHLD 1 248.777344 1587455318.9048
CHLD 2 217.945312 1587455318.9049
MEM 878.812500 1587455319.0147
CHLD 0 276.554688 1587455319.0452
CHLD 1 255.738281 1587455319.0452
CHLD 2 217.945312 1587455319.0453
MEM 903.304688 1587455319.1585
CHLD 0 280.679688 1587455319.1876
CHLD 1 263.472656 1587455319.1876
CHLD 2 217.945312 1587455319.1876
MEM 893.062500 1587455319.2973
CHLD 0 252.390625 1587455319.3266
CHLD 1 280.746094 1587455319.3266
CHLD 2 217.945312 1587455319.3266
MEM 903.375000 1587455319.4355
CHLD 0 263.476562 1587455319.4613
CHLD 1 280.746094 1587455319.4613
CHLD 2 217.945312 1587455319.4613
MEM 891.843750 1587455319.5715
CHLD 0 280.750000 1587455319.5980
CHLD 1 251.425781 1587455319.5980
CHLD 2 217.945312 1587455319.5981
MEM 899.062500 1587455319.7071
CHLD 0 280.750000 1587455319.7371
CHLD 1 258.386719 1587455319.7372
CHLD 2 217.945312 1587455319.7529
MEM 894.679688 1587455319.8684
CHLD 0 256.773438 1587455319.9026
CHLD 1 280.816406 1587455319.9026
CHLD 2 217.945312 1587455319.9027
MEM 914.273438 1587455320.0163
CHLD 0 280.750000 1587455320.0536
CHLD 1 280.816406 1587455320.0536
CHLD 2 217.945312 1587455320.0537
MEM 899.578125 1587455320.1768
CHLD 0 258.781250 1587455320.2211
CHLD 1 261.222656 1587455320.2212
CHLD 2 217.945312 1587455320.2212
MEM 899.320312 1587455320.3310
CHLD 0 260.898438 1587455320.3555
CHLD 1 280.816406 1587455320.3555
CHLD 2 217.945312 1587455320.3555
MEM 923.039062 1587455320.4734
CHLD 0 280.750000 1587455320.4948
CHLD 1 280.816406 1587455320.4949
CHLD 2 217.945312 1587455320.4949
MEM 863.746094 1587455320.6039
CHLD 0 248.785156 1587455320.6415
CHLD 1 255.292969 1587455320.6415
CHLD 2 217.945312 1587455320.6416
MEM 874.316406 1587455320.7503
CHLD 0 248.785156 1587455320.7744
CHLD 1 267.152344 1587455320.7745
CHLD 2 217.945312 1587455320.7745
MEM 891.074219 1587455320.8841
CHLD 0 248.785156 1587455320.9009
CHLD 1 280.816406 1587455320.9009
CHLD 2 217.945312 1587455320.9010
MEM 891.074219 1587455321.0102
CHLD 0 248.785156 1587455321.0326
CHLD 1 280.816406 1587455321.0327
CHLD 2 217.945312 1587455321.0327
MEM 859.109375 1587455321.1418
CHLD 0 248.785156 1587455321.1623
CHLD 1 248.851562 1587455321.1623
CHLD 2 217.945312 1587455321.1624
MEM 859.406250 1587455321.2708
CHLD 0 248.785156 1587455321.2873
CHLD 1 248.851562 1587455321.2874
CHLD 2 218.242188 1587455321.2874
MEM 859.523438 1587455321.3960
CHLD 0 248.785156 1587455321.4122
CHLD 1 248.851562 1587455321.4123
CHLD 2 218.476562 1587455321.4123
MEM 860.011719 1587455321.5216
CHLD 0 249.039062 1587455321.5298
CHLD 1 248.851562 1587455321.5299
CHLD 2 218.593750 1587455321.5299
MEM 860.562500 1587455321.6382
CHLD 0 249.296875 1587455321.6467
CHLD 1 248.851562 1587455321.6467
CHLD 2 218.886719 1587455321.6467
MEM 862.578125 1587455321.7553
CHLD 0 249.554688 1587455321.7635
CHLD 1 248.851562 1587455321.7636
CHLD 2 220.644531 1587455321.7636
MEM 919.003906 1587455321.8737
CHLD 0 249.812500 1587455321.8846
CHLD 1 249.105469 1587455321.8847
CHLD 2 287.386719 1587455321.8847
MEM 971.066406 1587455321.9978
CHLD 0 250.070312 1587455322.0130
CHLD 1 249.363281 1587455322.0131
CHLD 2 328.105469 1587455322.0131
MEM 971.324219 1587455322.1226
CHLD 0 250.070312 1587455322.1570
CHLD 1 249.621094 1587455322.1571
CHLD 2 328.105469 1587455322.1571
MEM 971.582031 1587455322.2686
CHLD 0 250.328125 1587455322.2907
CHLD 1 249.621094 1587455322.3071
CHLD 2 328.105469 1587455322.3073
MEM 971.839844 1587455322.4182
CHLD 0 250.328125 1587455322.4497
CHLD 1 249.878906 1587455322.4498
CHLD 2 328.105469 1587455322.4498
MEM 972.097656 1587455322.5612
CHLD 0 250.585938 1587455322.6057
CHLD 1 249.878906 1587455322.6058
CHLD 2 328.105469 1587455322.6059
MEM 972.355469 1587455322.7178
CHLD 0 250.585938 1587455322.7439
CHLD 1 250.136719 1587455322.7439
CHLD 2 328.105469 1587455322.7440
MEM 972.613281 1587455322.8524
CHLD 0 250.843750 1587455322.8786
CHLD 1 250.136719 1587455322.8786
CHLD 2 328.105469 1587455322.8786
MEM 972.613281 1587455322.9944
CHLD 0 251.101562 1587455323.0485
CHLD 1 250.394531 1587455323.0486
CHLD 2 328.105469 1587455323.0486
MEM 973.128906 1587455323.1620
CHLD 0 251.101562 1587455323.2080
CHLD 1 250.394531 1587455323.2080
CHLD 2 328.105469 1587455323.2081
MEM 973.386719 1587455323.3187
CHLD 0 251.359375 1587455323.3596
CHLD 1 250.652344 1587455323.3597
CHLD 2 328.105469 1587455323.3597
MEM 973.644531 1587455323.4694
CHLD 0 251.359375 1587455323.4830
CHLD 1 250.652344 1587455323.4830
CHLD 2 328.105469 1587455323.4831
MEM 973.902344 1587455323.5924
CHLD 0 251.617188 1587455323.6199
CHLD 1 250.910156 1587455323.6199
CHLD 2 328.105469 1587455323.6200
MEM 974.160156 1587455323.7304
CHLD 0 251.617188 1587455323.7602
CHLD 1 250.910156 1587455323.7603
CHLD 2 328.105469 1587455323.7603
MEM 974.417969 1587455323.8698
CHLD 0 251.875000 1587455323.9075
CHLD 1 251.167969 1587455323.9076
CHLD 2 328.105469 1587455323.9076
MEM 974.675781 1587455324.0178
CHLD 0 251.875000 1587455324.0448
CHLD 1 251.167969 1587455324.0449
CHLD 2 328.105469 1587455324.0449
MEM 974.730469 1587455324.1533
CHLD 0 251.875000 1587455324.1710
