CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.566406 1587455450.0466
MEM 19.890625 1587455450.1597
MEM 54.968750 1587455450.2781
MEM 66.425781 1587455450.4094
MEM 83.433594 1587455450.5211
MEM 100.289062 1587455450.6331
MEM 111.484375 1587455450.7479
MEM 119.542969 1587455450.8643
MEM 126.074219 1587455450.9795
MEM 136.933594 1587455451.0915
MEM 142.875000 1587455451.2055
MEM 142.875000 1587455451.3297
MEM 142.875000 1587455451.4560
MEM 142.875000 1587455451.5891
MEM 142.875000 1587455451.7239
MEM 142.875000 1587455451.8520
MEM 142.875000 1587455451.9862
MEM 142.875000 1587455452.1075
MEM 142.875000 1587455452.2231
MEM 142.875000 1587455452.3535
MEM 142.875000 1587455452.4769
MEM 142.875000 1587455452.5994
MEM 142.875000 1587455452.7322
MEM 142.875000 1587455452.8624
MEM 142.875000 1587455452.9843
MEM 142.875000 1587455453.0999
MEM 142.875000 1587455453.2132
MEM 144.121094 1587455453.3269
MEM 144.121094 1587455453.4408
MEM 144.121094 1587455453.5550
MEM 144.121094 1587455453.6682
MEM 144.121094 1587455453.7801
MEM 144.121094 1587455453.8948
MEM 144.121094 1587455454.0089
MEM 144.121094 1587455454.1242
MEM 144.300781 1587455454.2502
MEM 567.554688 1587455454.3707
CHLD 0 149.976562 1587455454.3912
CHLD 1 141.164062 1587455454.3913
CHLD 2 165.464844 1587455454.3913
MEM 670.023438 1587455454.5012
CHLD 0 156.710938 1587455454.5099
CHLD 1 158.742188 1587455454.5099
CHLD 2 209.765625 1587455454.5099
MEM 681.824219 1587455454.6231
CHLD 0 164.785156 1587455454.6752
CHLD 1 164.964844 1587455454.6752
CHLD 2 209.765625 1587455454.6753
MEM 684.320312 1587455454.7867
CHLD 0 164.785156 1587455454.8289
CHLD 1 164.964844 1587455454.8289
CHLD 2 209.765625 1587455454.8290
MEM 684.320312 1587455454.9419
CHLD 0 164.785156 1587455454.9861
CHLD 1 164.964844 1587455454.9862
CHLD 2 209.765625 1587455454.9862
MEM 684.320312 1587455455.1010
CHLD 0 164.785156 1587455455.1440
CHLD 1 164.964844 1587455455.1441
CHLD 2 209.765625 1587455455.1441
MEM 684.687500 1587455455.2574
CHLD 0 165.386719 1587455455.3094
CHLD 1 164.964844 1587455455.3094
CHLD 2 209.765625 1587455455.3094
MEM 685.519531 1587455455.4260
CHLD 0 165.984375 1587455455.4531
CHLD 1 165.140625 1587455455.4531
CHLD 2 209.765625 1587455455.4532
MEM 726.214844 1587455455.5644
CHLD 0 188.675781 1587455455.5962
CHLD 1 188.382812 1587455455.5962
CHLD 2 209.765625 1587455455.5963
MEM 731.875000 1587455455.7047
CHLD 0 188.675781 1587455455.7415
CHLD 1 188.628906 1587455455.7416
CHLD 2 209.765625 1587455455.7416
MEM 731.875000 1587455455.8512
CHLD 0 188.675781 1587455455.8790
CHLD 1 188.628906 1587455455.8791
CHLD 2 209.765625 1587455455.8791
MEM 733.593750 1587455455.9891
CHLD 0 188.730469 1587455456.0494
CHLD 1 188.628906 1587455456.0494
CHLD 2 211.429688 1587455456.0494
MEM 733.757812 1587455456.1579
CHLD 0 188.894531 1587455456.1789
CHLD 1 188.683594 1587455456.1790
CHLD 2 211.429688 1587455456.1790
MEM 736.375000 1587455456.2875
CHLD 0 198.628906 1587455456.3090
CHLD 1 188.742188 1587455456.3090
CHLD 2 213.878906 1587455456.3091
MEM 868.812500 1587455456.4176
CHLD 0 258.437500 1587455456.4417
CHLD 1 251.660156 1587455456.4417
CHLD 2 218.281250 1587455456.4417
MEM 905.667969 1587455456.5553
CHLD 0 281.382812 1587455456.5979
CHLD 1 263.003906 1587455456.5980
CHLD 2 218.281250 1587455456.5980
MEM 893.882812 1587455456.7064
CHLD 0 250.515625 1587455456.7235
CHLD 1 281.308594 1587455456.7235
CHLD 2 218.281250 1587455456.7236
MEM 871.523438 1587455456.8331
CHLD 0 261.085938 1587455456.8570
CHLD 1 250.441406 1587455456.8571
CHLD 2 218.281250 1587455456.8571
MEM 902.972656 1587455456.9656
CHLD 0 281.453125 1587455456.9916
CHLD 1 260.496094 1587455456.9916
CHLD 2 218.281250 1587455456.9917
MEM 925.917969 1587455457.1004
CHLD 0 281.453125 1587455457.1332
CHLD 1 281.378906 1587455457.1332
CHLD 2 218.281250 1587455457.1333
MEM 901.941406 1587455457.2430
CHLD 0 259.023438 1587455457.2748
CHLD 1 249.414062 1587455457.2749
CHLD 2 218.281250 1587455457.2749
MEM 901.425781 1587455457.3845
CHLD 0 281.453125 1587455457.4119
CHLD 1 258.691406 1587455457.4120
CHLD 2 218.281250 1587455457.4120
MEM 919.214844 1587455457.5224
CHLD 0 281.453125 1587455457.5464
CHLD 1 281.378906 1587455457.5578
CHLD 2 218.281250 1587455457.5579
MEM 902.457031 1587455457.6699
CHLD 0 259.539062 1587455457.7136
CHLD 1 250.957031 1587455457.7137
CHLD 2 218.281250 1587455457.7137
MEM 906.066406 1587455457.8224
CHLD 0 281.453125 1587455457.8450
CHLD 1 264.105469 1587455457.8451
CHLD 2 218.281250 1587455457.8451
MEM 925.917969 1587455457.9543
CHLD 0 281.453125 1587455457.9878
CHLD 1 281.378906 1587455457.9879
CHLD 2 218.281250 1587455457.9879
MEM 887.984375 1587455458.1099
CHLD 0 249.488281 1587455458.1393
CHLD 1 249.414062 1587455458.1394
CHLD 2 218.281250 1587455458.1394
MEM 861.988281 1587455458.2494
CHLD 0 249.488281 1587455458.2647
CHLD 1 249.414062 1587455458.2647
CHLD 2 218.281250 1587455458.2648
MEM 861.988281 1587455458.3735
CHLD 0 249.488281 1587455458.3925
CHLD 1 249.414062 1587455458.3926
CHLD 2 218.281250 1587455458.3926
MEM 861.988281 1587455458.5037
CHLD 0 249.488281 1587455458.5369
CHLD 1 249.414062 1587455458.5369
CHLD 2 218.281250 1587455458.5369
MEM 861.988281 1587455458.6456
CHLD 0 249.488281 1587455458.6731
CHLD 1 249.414062 1587455458.6731
CHLD 2 218.640625 1587455458.6732
MEM 862.347656 1587455458.7845
CHLD 0 249.488281 1587455458.8079
CHLD 1 249.414062 1587455458.8079
CHLD 2 218.757812 1587455458.8080
MEM 862.582031 1587455458.9168
CHLD 0 249.488281 1587455458.9306
CHLD 1 249.414062 1587455458.9306
CHLD 2 218.992188 1587455458.9307
MEM 865.160156 1587455459.0428
CHLD 0 249.742188 1587455459.0548
CHLD 1 249.667969 1587455459.0548
CHLD 2 220.945312 1587455459.0549
MEM 937.109375 1587455459.1669
CHLD 0 250.257812 1587455459.1762
CHLD 1 249.925781 1587455459.1762
CHLD 2 302.433594 1587455459.1763
MEM 973.964844 1587455459.2851
CHLD 0 250.515625 1587455459.2979
CHLD 1 250.183594 1587455459.2979
CHLD 2 328.460938 1587455459.2979
MEM 974.480469 1587455459.4095
CHLD 0 250.773438 1587455459.4198
CHLD 1 250.441406 1587455459.4198
CHLD 2 328.460938 1587455459.4199
MEM 974.480469 1587455459.5299
CHLD 0 251.031250 1587455459.5622
CHLD 1 250.441406 1587455459.5622
CHLD 2 328.460938 1587455459.5623
MEM 974.738281 1587455459.6710
CHLD 0 251.031250 1587455459.6950
CHLD 1 250.441406 1587455459.6950
CHLD 2 328.460938 1587455459.6951
MEM 974.996094 1587455459.8042
CHLD 0 251.031250 1587455459.8343
CHLD 1 250.699219 1587455459.8344
CHLD 2 328.460938 1587455459.8344
MEM 975.253906 1587455459.9438
CHLD 0 251.289062 1587455459.9753
CHLD 1 250.699219 1587455459.9754
CHLD 2 328.460938 1587455459.9754
MEM 975.511719 1587455460.0846
CHLD 0 251.289062 1587455460.1101
CHLD 1 250.957031 1587455460.1102
CHLD 2 328.460938 1587455460.1102
MEM 975.511719 1587455460.2216
CHLD 0 251.546875 1587455460.2461
CHLD 1 250.957031 1587455460.2462
CHLD 2 328.460938 1587455460.2462
MEM 975.769531 1587455460.3593
CHLD 0 251.546875 1587455460.3872
CHLD 1 251.214844 1587455460.3873
CHLD 2 328.460938 1587455460.3873
MEM 976.027344 1587455460.4964
CHLD 0 251.546875 1587455460.5184
CHLD 1 251.214844 1587455460.5185
CHLD 2 328.460938 1587455460.5185
MEM 976.285156 1587455460.6280
CHLD 0 251.804688 1587455460.6514
CHLD 1 251.214844 1587455460.6515
CHLD 2 328.460938 1587455460.6515
MEM 976.542969 1587455460.7604
CHLD 0 251.804688 1587455460.7897
CHLD 1 251.472656 1587455460.7897
CHLD 2 328.460938 1587455460.7898
MEM 976.800781 1587455460.8994
